"id","nombre","tipos","es_legendario","es_mitico","capture_rate","hp","attack","defense","special_attack","special_defense","speed","height","weight","pokeapi_id","display_scale"
"1","bulbasaur","grass,poison","false","false","45","45","49","49","65","65","45","7","69","1","1.1"
"2","ivysaur","grass,poison","false","false","45","60","62","63","80","80","60","10","130","2","1"
"3","venusaur","grass,poison","false","false","45","80","82","83","100","100","80","20","1000","3","0.9"
"4","charmander","fire","false","false","45","39","52","43","60","50","65","6","85","4","1.1"
"5","charmeleon","fire","false","false","45","58","64","58","80","65","80","11","190","5","1"
"6","charizard","fire,flying","false","false","45","78","84","78","109","85","100","17","905","6","0.9"
"7","squirtle","water","false","false","45","44","48","65","50","64","43","5","90","7","1.1"
"8","wartortle","water","false","false","45","59","63","80","65","80","58","10","225","8","1"
"9","blastoise","water","false","false","45","79","83","100","85","105","78","16","855","9","0.9"
"10","caterpie","bug","false","false","255","45","30","35","20","20","45","3","29","10","1.2"
"11","metapod","bug","false","false","120","50","20","55","25","25","30","7","99","11","1.1"
"12","butterfree","bug,flying","false","false","45","60","45","50","90","80","70","11","320","12","1"
"13","weedle","bug,poison","false","false","255","40","35","30","20","20","50","3","32","13","1.2"
"14","kakuna","bug,poison","false","false","120","45","25","50","25","25","35","6","100","14","1.1"
"15","beedrill","bug,poison","false","false","45","65","90","40","45","80","75","10","295","15","1"
"16","pidgey","normal,flying","false","false","255","40","45","40","35","35","56","3","18","16","1.2"
"17","pidgeotto","normal,flying","false","false","120","63","60","55","50","50","71","11","300","17","1"
"18","pidgeot","normal,flying","false","false","45","83","80","75","70","70","101","15","395","18","1"
"19","rattata","normal","false","false","255","30","56","35","25","35","72","3","35","19","1.2"
"20","raticate","normal","false","false","127","55","81","60","50","70","97","7","185","20","1.1"
"21","spearow","normal,flying","false","false","255","40","60","30","31","31","70","3","20","21","1.2"
"22","fearow","normal,flying","false","false","90","65","90","65","61","61","100","12","380","22","1"
"23","ekans","poison","false","false","255","35","60","44","40","54","55","20","69","23","0.9"
"24","arbok","poison","false","false","90","60","95","69","65","79","80","35","650","24","0.8"
"25","pikachu","electric","false","false","190","35","55","40","50","50","90","4","60","25","1.1"
"26","raichu","electric","false","false","75","60","90","55","90","80","110","8","300","26","1"
"27","sandshrew","ground","false","false","255","50","75","85","20","30","40","6","120","27","1.1"
"28","sandslash","ground","false","false","90","75","100","110","45","55","65","10","295","28","1"
"29","nidoran-f","poison","false","false","235","55","47","52","40","40","41","4","70","29","1.1"
"30","nidorina","poison","false","false","120","70","62","67","55","55","56","8","200","30","1"
"31","nidoqueen","poison,ground","false","false","45","90","92","87","75","85","76","13","600","31","1"
"32","nidoran-m","poison","false","false","235","46","57","40","40","40","50","5","90","32","1.1"
"33","nidorino","poison","false","false","120","61","72","57","55","55","65","9","195","33","1"
"34","nidoking","poison,ground","false","false","45","81","102","77","85","75","85","14","620","34","1"
"35","clefairy","fairy","false","false","150","70","45","48","60","65","35","6","75","35","1.1"
"36","clefable","fairy","false","false","25","95","70","73","95","90","60","13","400","36","1"
"37","vulpix","fire","false","false","190","38","41","40","50","65","65","6","99","37","1.1"
"38","ninetales","fire","false","false","75","73","76","75","81","100","100","11","199","38","1"
"39","jigglypuff","normal,fairy","false","false","170","115","45","20","45","25","20","5","55","39","1.1"
"40","wigglytuff","normal,fairy","false","false","50","140","70","45","85","50","45","10","120","40","1"
"41","zubat","poison,flying","false","false","255","40","45","35","30","40","55","8","75","41","1"
"42","golbat","poison,flying","false","false","90","75","80","70","65","75","90","16","550","42","0.9"
"43","oddish","grass,poison","false","false","255","45","50","55","75","65","30","5","54","43","1.1"
"44","gloom","grass,poison","false","false","120","60","65","70","85","75","40","8","86","44","1"
"45","vileplume","grass,poison","false","false","45","75","80","85","110","90","50","12","186","45","1"
"46","paras","bug,grass","false","false","190","35","70","55","45","55","25","3","54","46","1.2"
"47","parasect","bug,grass","false","false","75","60","95","80","60","80","30","10","295","47","1"
"48","venonat","bug,poison","false","false","190","60","55","50","40","55","45","10","300","48","1"
"49","venomoth","bug,poison","false","false","75","70","65","60","90","75","90","15","125","49","1"
"50","diglett","ground","false","false","255","10","55","25","35","45","95","2","8","50","1.2"
"51","dugtrio","ground","false","false","50","35","100","50","50","70","120","7","333","51","1.1"
"52","meowth","normal","false","false","255","40","45","35","40","40","90","4","42","52","1.1"
"53","persian","normal","false","false","90","65","70","60","65","65","115","10","320","53","1"
"54","psyduck","water","false","false","190","50","52","48","65","50","55","8","196","54","1"
"55","golduck","water","false","false","75","80","82","78","95","80","85","17","766","55","0.9"
"56","mankey","fighting","false","false","190","40","80","35","35","45","70","5","280","56","1.1"
"57","primeape","fighting","false","false","75","65","105","60","60","70","95","10","320","57","1"
"58","growlithe","fire","false","false","190","55","70","45","70","50","60","7","190","58","1.1"
"59","arcanine","fire","false","false","75","90","110","80","100","80","95","19","1550","59","0.9"
"60","poliwag","water","false","false","255","40","50","40","40","40","90","6","124","60","1.1"
"61","poliwhirl","water","false","false","120","65","65","65","50","50","90","10","200","61","1"
